Site,Population,Latitude,Longitude,Elevation,Image_Number
Latir,SL2,36.79593,-105.48266,12371,2756
Latir,SL2,36.79593,-105.48266,12371,2757
Latir,SL2,36.79593,-105.48266,12371,2758
Latir,SL2,36.79593,-105.48266,12371,2759
Latir,SL2,36.79593,-105.48266,12371,2760
Latir,SL2,36.79593,-105.48266,12371,2761
Latir,Swale VP,36.79365,-105.48698,12447,2762
Latir,Swale VP,36.79365,-105.48698,12447,2763
Latir,Swale VP,36.79365,-105.48698,12447,2764
Latir,Swale VP,36.79365,-105.48698,12447,2765
Latir,Swale VP,36.79365,-105.48698,12447,2766
Latir,Swale VP,36.79365,-105.48698,12447,2767
Latir,Swale VP,36.79365,-105.48698,12447,2768
Latir,Swale VP,36.79365,-105.48698,12447,2769
Latir,Swale VP,36.79365,-105.48698,12447,2770
Latir,Swale VP,36.79365,-105.48698,12447,2771
Latir,Swale VP,36.79365,-105.48698,12447,2772
Latir,Swale VP,36.79365,-105.48698,12447,2773
Latir,Swale VP,36.79365,-105.48698,12447,2774
Latir,Swale VP,36.79365,-105.48698,12447,2775
Latir,Swale VP,36.79365,-105.48698,12447,2776
Latir,Swale VP,36.79365,-105.48698,12447,2777
Latir,Swale VP,36.79365,-105.48698,12447,2778
Latir,Swale VP,36.79365,-105.48698,12447,2779
Latir,Swale VP,36.79365,-105.48698,12447,2780
Latir,Swale VP,36.79365,-105.48698,12447,2781
Latir,Swale VP,36.79365,-105.48698,12447,2782
Latir,Verado Peak,36.7938,-105.48702,12714,2784
Latir,Verado Peak,36.7938,-105.48702,12714,2785
Latir,Verado Peak,36.7938,-105.48702,12714,2786
Latir,Verado Peak,36.7938,-105.48702,12714,2787
Latir,Verado Peak,36.7938,-105.48702,12714,2788
Latir,Verado Peak,36.7938,-105.48702,12714,2789
Latir,Verado Peak,36.7938,-105.48702,12714,2790
Latir,Verado Peak,36.7938,-105.48702,12714,2791
Latir,Verado Peak,36.7938,-105.48702,12714,2792
Latir,Verado Peak,36.7938,-105.48702,12714,2793
Latir,Verado Peak,36.7938,-105.48702,12714,2794
Latir,Verado Peak,36.7938,-105.48702,12714,2795
Latir,Verado Peak,36.7938,-105.48702,12714,2796
Latir,Verado Peak,36.7938,-105.48702,12714,2797
Latir,Verado Peak,36.7938,-105.48702,12714,2798
Latir,Verado Peak,36.7938,-105.48702,12714,2799
Latir,Verado Peak,36.7938,-105.48702,12714,2800
Latir,Verado Peak,36.7938,-105.48702,12714,2801
Latir,Verado Peak,36.7938,-105.48702,12714,2802
Latir,Verado Peak,36.7938,-105.48702,12714,2803
Latir,Verado Peak,36.7938,-105.48702,12714,2804
Latir,,,,,
