ID,Ovule_Count,Pollen,Notes
4F5G,27,0,
4F5F,20,0,
4F5E,14,0,
4F5D,47,1,
4F5C,34,0,
1H2J,29,0,
1H2I,26,1,
1H2H,30,0,degraded ovary
1H5G,0,1,17 aborted ovules
1H5F,27,1,
1H5E,0,0,"ovary ripped, 5 aborted ovules"
1H5D,0,0,"ovary ripped, 23 aborted ovules"
1H5C,37,0,
1F5G,28,1,
1F5F,29,0,degraded ovary
1F5E,30,0,degraded ovary
1F5D,34,0,smaller ovules
1F5C,29,1,degraded ovary
1H1G,0,0,16 aborted ovules
1H1F,23,0,degraded ovary
1H1E,0,1,
4H3D,0,1,
4H3C,34,0,
4H3B,31,1,smaller ovules
4H3A,36,1,
4F2D,41,0,
4F3C,39,1,
4F3B,48,0,
4F3A,34,0,
4H1D,0,0,
4H1C,34,0,smaller ovules
4H1B,42,1,smaller ovules
4H1A,0,0,
4F1D,37,0,
4F1C,28,1,degraded ovary
4F1B,38,0,
4F1A,33,0,
3F3D,27,0,degraded ovary
3F3C,19,0,degraded ovary
3F3B,26,0,
3F3A,28,1,
3H3D,29,1,"smaller ovules, elongated ovaries"
3H3C,0,1,
3H3B,27,1,
3H3A,42,0,smaller ovules
3F1D,37,0,smaller ovules
3F1C,19,0,smaller ovules
3F1B,25,1,faint ovules
3F1A,30,0,degraded ovary
3H1D,43,1,
3H1C,40,1,smaller ovules
3H1B,37,0,
3H1A,0,0,31 aborted ovules
2F2D,31,0,
2F2C,27,0,
2F2B,28,0,faint ovules
2F2A,26,0,
2H2D,24,0,"degraded ovary, smaller ovules"
2H2C,27,1,smaller ovules
2H2B,21,1,smaller ovules
2H2A,20,0,faint ovules
2F1D,41,0,
2F1C,47,1,
2F1B,31,0,faint ovules
2F1A,0,0,"faint ovules, degraded ovaries"
2H1D,37,1,
2H1C,31,1,variation in ovule size!
2H1B,0,1,"faint, small ovules, in the process of aborting? 23 ovules"
2H1A,0,1,"faint, small ovules, in the process of aborting? 26 ovules"
1H1D,0,0,"faint,small ovules, in the process of aborting? 8 ovules"
1H1C,0,0,
1H1B,0,1,16 aborted ovules
1H1A,40,0,
1F3D,38,1,degraded ovary
1F3C,36,1,degraded ovary
1F3B,30,0,degraded ovary
1F3A,37,0,
1H3D,37,0,
1H3C,33,1,
1H3B,34,0,
1H3A,0,1,"small ovules, in the process of aborting? 32 ovules"
1F1D,30,1,
1F1C,32,0,
1F1B,33,0,
1F1A,38,0,
1F3E,32,1,degraded ovary
4F5J,34,0,
4F5I,35,1,
4F5H,35,1,"degraded ovary, small ovules"
4H1E,28,1,"degraded ovary, small ovules"
4H4J,27,0,"degraded ovary, small ovules"
4H4I,10,1,large ovules
4H4H,0,0,
1F4F,29,0,degraded ovary
1F4G,31,0,
1F4D,26,1,degraded ovary
1F4E,0,1,22 aborted ovules
4H1M,22,0,"some smaller, yellow, aborted ovules, variation in ovule size! "
4H2L,23,0,"some smaller, yellow, aborted ovules, variation in ovule size! "
4H2K,0,0,"14 aborted ovules, faint and small"
4H2I,17,0,"some smaller, yellow, aborted ovules, variation in ovule size! "
4H2J,0,0,
4H2H,40,1,
4H2G,28,0,
1H4B,26,0,faint ovules
1H4A,47,1,
4H5O,0,1,
4H5N,0,0,
4H5M,0,0,
4H5L,0,0,
4H5K,0,1,
4F4B,40,0,degraded ovary
4F4A,36,0,
4F3L,26,0,
4F3K,42,0,
4F3J,41,0,degraded ovary
4F3I,35,0,small ovules
4F3H,34,0,small ovules
1F2B,34,0,small ovules
1F2A,38,0,
4H3J,14,0,degraded ovary
4H3I,0,0,
4H3H,0,0,
4F2J,11,0,"some smaller, yellow, aborted ovules, variation in ovule size! "
4F2I,24,1,
2F2H,10,1,degraded ovary
4F2G,22,1,
